Gran grupo,Sub grupo principal,Sub grupo,Grupo primario,Descripcion CNO 2015,Orden
,,,3114,Técnicos en electrónica,201
,,,3115,Técnicos en ingeniería mecánica,202
,,,3116,Técnicos en química industrial,203
,,,3117,Técnicos en ingeniería de minas y metalurgia,204
,,,3118,Delineantes y dibujantes técnicos,205
,,,3119,Otros técnicos en ciencias físicas y en ingeniería,206
,,312,,"Supervisores en ingeniería de minas, de industrias manufactureras y de la construcción, abastecimiento, transporte, tecnología de la información y comunicaciones y otros",207
,,,3121,Supervisores en ingeniería de minas,208
,,,3122,Supervisores de industrias manufactureras,209
,,,3123,Supervisores de la construcción,210
,,,3124,"Supervisores de abastecimiento, distribución y afines",211
,,,3125,Supervisores de transporte y servicios conexos,212
,,,3126,Supervisores de servicios de tecnología de la información y las  comunicaciones ,213
,,,3129,"Otros supervisores en ingeniería de minas, de industrias manufactureras y de la construcción",214
,,313,,"Supervisores de mantenimiento, limpieza y servicios de alimentos y bebidas en establecimientos",215
,,,3131,"Supervisores de mantenimiento y limpieza en oficinas, hoteles y otros establecimientos",216
,,,3132,Supervisores en la preparación y servicios de alimentos y bebidas en establecimientos,217
,,314,,Técnicos en control de procesos,218
,,,3141,Operadores de instalaciones de producción de energía,219
,,,3142,"Técnicos en instalaciones de incineración, de tratamiento de agua y otros operadores en plantas similares",220
,,,3143,Controladores de instalaciones de procesamiento de productos químicos,221
,,,3144,Operadores de instalaciones de refinación de petróleo y gas natural,222
,,,3145,Controladores de procesos de producción de metales,223
,,,3149,Otros técnicos en control de procesos,224
,,315,,Profesionales técnicos en ciencias biológicas y afines,225
,,,3151,Técnicos en ciencias biológicas (excluyendo la medicina),226
,,,3152,Técnicos agropecuarios,227
,,,3153,Técnicos forestales,228
,,316,,Técnicos y controladores en navegación marítima y aeronáutica,229
,,,3161,Oficiales maquinistas en navegación,230
,,,3162,"Capitanes, oficiales de cubierta y prácticos",231
,,,3163,Pilotos de aviación y afines,232
,,,3164,Controladores de tráfico aéreo ,233
,,,3165,Técnicos en seguridad aeronáutica,234
,32,,,Profesionales técnicos de la salud,235
,,321,,Técnicos médicos y farmacéuticos,236
,,,3211,Técnicos en Radioterapia e imagenología,237
,,,3212,Técnicos de laboratorios médicos ,238
,,,3213,Técnicos y asistentes farmacéuticos,239
,,,3214,Técnicos de prótesis médicas y ortopédicas,240
,,,3215,Técnicos de prótesis dentales,241
,,322,,Profesionales técnicos de enfermería y partería,242
,,,3221,Técnicos en enfermería,243
,,,3222,Técnicos en partería,244
